margin_trajectory_with_q3_lead,cases,su_wins,su_win_rate,break_even_ml,covers,cover_rate_pregame_spread,avg_final_margin,median_q3_wp,sample_flag
Q1_TRAIL_4_7__Q2_TIE__Q3_LEAD_4_7__Q3_LEAD_4-7,9,7,0.7777777777777778,-350.00000000000006,7,0.7777777777777778,5.777777777777778,0.7478041052818298,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_LEAD_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,9,4,0.4444444444444444,125.00000000000001,7,0.7777777777777778,1.6666666666666667,0.6213645339012146,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_4_7__Q3_LEAD_8_13__Q3_LEAD_8+,9,4,0.4444444444444444,125.00000000000001,7,0.7777777777777778,3.888888888888889,0.8424143195152283,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_LEAD_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,9,1,0.1111111111111111,800.0,7,0.7777777777777778,-2.888888888888889,0.7180553674697876,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_LEAD_8_13__Q3_LEAD_14_PLUS__Q3_LEAD_8+,8,8,1.0,,8,1.0,14.125,0.9600556790828705,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_LEAD_4_7__Q3_LEAD_8_13__Q3_LEAD_8+,8,7,0.875,-700.0,8,1.0,8.75,0.8695265352725983,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_LEAD_4_7__Q3_LEAD_8_13__Q3_LEAD_8+,8,7,0.875,-700.0,8,1.0,8.625,0.8428682684898376,SAMPLE_TOO_SMALL
Q1_LEAD_4_7__Q2_LEAD_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,8,6,0.75,-300.0,7,0.875,2.875,0.6949701011180878,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_LEAD_4_7__Q3_LEAD_4_7__Q3_LEAD_4-7,8,6,0.75,-300.0,7,0.875,6.625,0.7889439463615417,SAMPLE_TOO_SMALL
Q1_TIE__Q2_LEAD_1_3__Q3_LEAD_4_7__Q3_LEAD_4-7,8,6,0.75,-300.0,7,0.875,3.875,0.8123394250869751,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_LEAD_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,8,5,0.625,-166.66666666666666,6,0.75,2.125,0.533175140619278,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_TRAIL_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,8,5,0.625,-166.66666666666666,7,0.875,-0.375,0.5254910588264465,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_LEAD_4_7__Q3_LEAD_4-7,8,4,0.5,-100.0,6,0.75,2.125,0.7335285544395447,SAMPLE_TOO_SMALL
Q1_TRAIL_4_7__Q2_TRAIL_4_7__Q3_LEAD_1_3__Q3_LEAD_1-3,8,4,0.5,-100.0,5,0.625,-0.5,0.6388707160949707,SAMPLE_TOO_SMALL
Q1_LEAD_1_3__Q2_LEAD_8_13__Q3_LEAD_14_PLUS__Q3_LEAD_8+,7,7,1.0,,7,1.0,13.142857142857142,0.9734948873519897,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_LEAD_4_7__Q3_LEAD_8_13__Q3_LEAD_8+,7,6,0.8571428571428571,-599.9999999999998,6,0.8571428571428571,7.857142857142857,0.831706702709198,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_LEAD_8_13__Q3_LEAD_8+,7,6,0.8571428571428571,-599.9999999999998,6,0.8571428571428571,7.571428571428571,0.8560080528259277,SAMPLE_TOO_SMALL
Q1_LEAD_8_13__Q2_LEAD_14_PLUS__Q3_LEAD_8_13__Q3_LEAD_8+,7,5,0.7142857142857143,-250.00000000000003,7,1.0,8.0,0.8866319060325623,SAMPLE_TOO_SMALL
Q1_TIE__Q2_TIE__Q3_LEAD_1_3__Q3_LEAD_1-3,7,5,0.7142857142857143,-250.00000000000003,7,1.0,1.7142857142857142,0.600955069065094,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_LEAD_4_7__Q3_LEAD_8_13__Q3_LEAD_8+,7,5,0.7142857142857143,-250.00000000000003,7,1.0,8.428571428571429,0.8215638995170593,SAMPLE_TOO_SMALL
Q1_TRAIL_1_3__Q2_LEAD_1_3__Q3_LEAD_1_3__Q3_LEAD_1-3,7,4,0.5714285714285714,-133.33333333333331,6,0.8571428571428571,1.7142857142857142,0.7021427154541016,SAMPLE_TOO_SMALL
