game_id,snapshot,underdog_side,underdog_team,favorite_team,spread_line_away_perspective,underdog_score_now,favorite_score_now,underdog_margin_now,underdog_wp,underdog_fair_ml,underdog_vegas_wp,underdog_vegas_fair_ml,underdog_final,favorite_final,underdog_final_margin,underdog_won_su,underdog_covered,ats_margin,pregame_spread_abs,season
2017_10_PIT_IND,H1,home,IND,PIT,-10.5,10.0,3.0,7.0,0.7868565320968628,-369.1675564059269,0.5511232614517212,-122.77830729970991,17,20,-3,False,True,7.5,10.5,2017
2017_11_ARI_HOU,H1,away,ARI,HOU,2.5,14.0,10.0,4.0,0.6024054288864136,-151.51248851290677,0.5840194225311279,-140.39583917228208,21,31,-10,False,False,-7.5,2.5,2017
2017_11_ATL_SEA,H1,away,ATL,SEA,1.0,24.0,17.0,7.0,0.7069733738899231,-241.2659160960837,0.6909032464027405,-223.52329436075516,34,31,3,True,True,4.0,1.0,2017
2017_11_CIN_DEN,H1,away,CIN,DEN,2.5,13.0,7.0,6.0,0.7424898743629456,-288.3342441490794,0.7137266397476196,-249.3164711932657,20,17,3,True,True,5.5,2.5,2017
2017_11_KC_NYG,H1,home,NYG,KC,-10.0,6.0,3.0,3.0,0.6789292693138123,-211.45785162752594,0.4341238737106323,130.34899957300104,12,9,3,True,True,13.0,10.0,2017
2017_11_PHI_DAL,H1,home,DAL,PHI,-6.0,9.0,7.0,2.0,0.5897396802902222,-143.74767725706687,0.3751024603843689,166.59382585102114,9,37,-28,False,False,-22.0,6.0,2017
2017_11_WAS_NO,H1,away,WAS,NO,9.5,17.0,13.0,4.0,0.6154525876045227,-160.0459573425961,0.461833655834198,116.52817792019212,31,34,-3,False,True,6.5,9.5,2017
2017_12_BUF_KC,H1,away,BUF,KC,8.5,13.0,3.0,10.0,0.773473858833313,-341.450154427943,0.5956623256206512,-147.31803721604288,16,10,6,True,True,14.5,8.5,2017
2017_12_JAX_ARI,H1,home,ARI,JAX,-6.5,13.0,3.0,10.0,0.8532896637916565,-581.6152330125526,0.6999284625053406,-233.25386617776024,27,24,3,True,True,9.5,6.5,2017
2017_12_TEN_IND,H1,home,IND,TEN,-3.0,13.0,6.0,7.0,0.748828649520874,-298.13457947828596,0.6305502653121948,-170.6728158419241,16,20,-4,False,False,-1.0,3.0,2017
2017_13_DEN_MIA,H1,home,MIA,DEN,-1.0,16.0,3.0,13.0,0.8822607398033142,-749.3343667434974,0.8277058005332947,-480.4025922493364,35,9,26,True,True,27.0,1.0,2017
2017_13_KC_NYJ,H1,home,NYJ,KC,-3.5,21.0,17.0,4.0,0.6962094306945801,-229.17414200393975,0.5418837070465088,-118.28518552635757,38,31,7,True,True,10.5,3.5,2017
